statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
Minnesota,1,5,1,"Fighting, bunch of idiots who think they're 100% bad",2,63,"2005, why do I need to describe the time I paid taxes?",It's ok I guess.  It's not like I paid in in the ned.,"For me, sales tax.",1,"Social security, uh....that was 9 years ago",0,0,"Roads, health care, not sure what else","Congress' salaries, trips, insurance",Yes - my health care is full through the state,49,spending it on themselves,3,,3,,9,1,3,1,15,1,3,3,4,2,1,3,5,3,24,48,1,3,0.782012106
Georgia,1,6,4,Tax for everyone a must to the IRS.,1,100,last year filed next return.,Have to paid tax to the IRS.,income tax,1,federal tax,4,4,yes I bet somewhat glad to pay.,none I guess about upset.,yes I think so ,99,waste tax dollars of the people.,1,pay more to the family,1,alright for that part.,1,4,1,1,98,1,1,1,1,4,4,1,1,1,11,29,1,19,1.302865633
Connecticut,1,5,4,having to budget a lot more...,1,75,whenever you buy anything,sucks,property taxes,1,"social security, state, federal, ",1,0,education and social security,"politicians high salaries, excessive military spending, ",school system,70,"politicians high salaries, secret service for former presidents, wasted money on elections, wasted money on sending military to other countries where we make no difference in the long run",2,helps slightly but not enough,2,I think it is necessary because the cost of raising a child these days is very expensive,4,4,2,1,1,1,3,3,4,1,2,3,1,1,7,37,1,16,0.503497879
Illinois,1,5,5,"too high, too complex, too much waste",1,46,had lunch. Paid a 7% tax on it.,"neutral, at least I have a job and can offord taxes",Property tax.,1,State and federal income tax. Social security. (if that is considered a tax),0,Myself and my wife.,"Schools, roads, police, fire dept, national defense.",Welfare and social security cheats. Abortions.,"Yes. Taxes support local and federal infrastructure, schools, police and fire depts, national defense.",21,"Burocracy, (helium reserve), roads to nowhere, welfare for drug addicts, ",1,It reduced our taxes somewhat.,1,Earned income credit does help low income families.,1,5,1,1,40,1,3,2,4,2,1,3,1,1,14,23,1,13,0.631508565
Ohio,2,2,4,money deducted from paycheck to help fund government services,1,91,sales tax on household items,like I'm contributing to society,income tax,1,"fica, social security, city, state",0,0,"policemen, firefighters, infrastructure",can't think of anything else,"yes, peace of mind",41,research on obvious things,1,reduces them,2,good idea,5,2,3,1,50,1,2,2,4,2,1,3,1,3,36,23,1,5,0.427902551
California,2,3,1,to high or raise taxes always raising taxes on people that can't afford it,1,61,food taxes state and federal,do not like it,federal,1,state and federal,1,no,"children emergency funds, policemen, state funds",social sec that you may not collect on when you grow old,I'm not sure about that. I gaet confused about what is what.,81,any kind of equipment,2,don't pay as much taxes,4,,6,2,2,1,49,1,3,2,4,4,4,6,5,3,5,23,1,10,0.3930594
Georgia,1,2,5,Complicated and a burden on the ordinary citizen,1,51,Paid sales tax at the grocery store ,burdensome,federal income tax,1,"Federal, state, fica, medicare",0,no,strong military and elderly care,"food stamps,  welfare, supporting planned parenthood ",no,18,"education department, EPA, ",3,,3,,6,5,1,1,27,1,2,4,4,2,1,3,1,1,11,24,1,12,0.432154266
Florida,2,5,4,"unequal, those who can pay don't and those who can't pay too much, the system needs to be redone.",1,50,tax on purchase every time I bought something.  ,"its ok, would be better if the taxes would be better distributed with the programs that they should be funding.",local and state purchase taxes,1,"federal income, ss tax, state and local taxes",0,0,"social programs that actually help people get back on their feet when they need it. Medical, cash, and food,","Excessive salaries of any one.  salaries should be like the rest of the country, not outragously over and above the rest of us.",use programs that taxes paid for where I was not charged to use,80,"a hammer for $25,000.00",1,wonderful when it applies,1,it is good should be expanded,1,4,4,1,81,1,4,3,4,1,1,6,3,1,10,24,1,14,0.506566333
Virginia,1,3,5,how much I dislike government policies,1,70,federal tax this past April,not especially good,none,1,"federal and state withholding, fica, medicare",0,0,cannot think of anything that my paid taxes make me feel glad about,welfare for people who are to darn lazy to work,no I do not feel that I have benefited from my tax dollars,80,"welfare cheaters, unnecessay studies",3,,3,,6,5,2,1,19,1,2,2,4,2,1,3,3,1,47,12,1,11,0.631671616
South Carolina,1,4,5,government out of control spending.,1,60,The other day at the store.,Alright I guess.,land tax.,1,"Federal, State, FICA, SS.",0,No.,Social Security and Armed Forces.,Wasted money on un needed programs and the millions on false energy infeastments.,Social Security and Medicare.,60,"Celintra, rases for senate, Oboma's to meany vacations and his waestful spending on stupid stuff.",2,None any more.,4,,6,7,2,1,19,NA,3,1,4,1,1,6,3,4,41,26,1,10,0.432154266
Minnesota,1,4,2,lowering retirement income,1,60,at the grocery store a couple days ago,its ok if the taxes do not get raised,property tax,1,"fica, state",0,no,should be social security but congress both parties screwed that up,pork barrel projects that do not seem to be worth mich,"highway systems, most advances today can be traced back to military research funding, highways included per eisenhower",60,congress and senatoe perdiem,1,does not any more,1,help slightly reduce financial burdens,1,4,2,1,31,1,1,2,4,1,1,2,1,1,24,20,1,17,1.624211387
Ohio,1,2,7,money collected by the federal and sate governments,1,29,"on wednesday october the fiftheen, 2014",it sucks,sales tax,1,"federal, state, fica",0,no,the security of this country,stupid pork projects that do absollutely nothing to better mankind,nothing more than i have previously stated,81,"again, nothing more than i have already statedd",1,it doesn't affect me or my fam ily anymore,3,,6,6,1,1,9,1,1,1,2,2,1,1,3,1,36,18,1,4,0.427902551
New York,2,2,4,more money to pay for anything,1,81,today at Walmart for the things I bought,terrible,tax on clothes,1, / fica,0,no,my social security benefits,foolish programs that only a select member of people benefit from ,I receive social security benefits,99,programs for foolish projects,3,,3,,6,4,3,1,12,1,4,4,4,2,1,3,1,3,33,3,1,9,0.627845355
Hawaii,2,3,2,Yearly filing of money made ,1,38,I paid taxes on my meal today ,Sucky,Don't know ,1,Fico,0,0,I am happy to contribute to Social security ,Welfare people who are cheating the government,Yes in a way I was helped out for being a single mother ,33,Stupid testing ,2,Extra money back,2,Good to have,1,3,4,1,55,1,3,3,4,4,4,6,3,3,12,40,4,9,1.834465926
New York,2,3,1,"GOVERMANT,H&R BLOCK,INTERNAL REVENUE SERVICE",1,60,EVERY TIME I GO TO THE STORE I PAY TAXES,OK,FOOD,1,FEDERAL AND STATE,0,0,"IMPORT EXPORT,WELLFAR SOCIAL SECURETY","NO I WAS NOT UPSET,EVERY PERSON SHOULD PAY",FOR RETIREMENT OR ILLNESS,0,NONE,4,,1,A GOOD IDEA,6,7,3,1,51,1,3,3,4,1,4,6,1,3,33,19,1,2,0.341164062
North Carolina,2,6,4,"the internal revenue service.  Also, money that the goverment requires that you pay.",1,42,I sent a check to the internal revenue service,Do not like it,gains,1,"social security, federal state, and medicare",2,no,"education, kids that need assistance",People that can work but are not and then our taxes dollars go to subsidize them,I presume the roads that I drive on,64,spent inefficiently,4,,4,,1,4,2,1,41,1,2,4,4,2,1,3,1,1,34,40,1,NA,0.949593622
California,1,5,7,"democrats, who want to tax everything",1,80,sales tax today for lunch,no special feelings either positive or neagative,sales tax,1,state and federal taxes,0,0,"services, such as fire and police",taxes that fund things that are of no interest to me,there are services that have been of use to me as mentioned previously,50,payment for parts for government jobs,2,does not affect today,4,,2,6,3,1,42,1,3,3,4,2,1,6,1,1,5,17,4,19,4.423381849
Colorado,1,2,4,Democrats raising taxes for big government,1,52,Last year I paid taxes during tax time,Like I'm giving money at gunpoint to a corrupt government,employment tax and sales tax,1,"Federal, state, social security",1,no,"Helping run base government offices, police, and fire department. Schools used to be on the list until the Unions started running them.","Waste, supporting people that are not here lawfully from other countries, wasteful grants, Dictator Obama, his family and there vacations! I.R.S., CIA listening to Americans and looking at e-mails of Americans, Too many government wastes to list.",no,85,"Illegal immegrents, and government spending",2,don't know,4,,3,6,1,1,2,1,1,1,4,2,1,3,1,1,6,33,1,14,0.460739774
New York,1,6,1,Contributions to a governmental entity that help it carry out its functions,1,99,I. Paid sales tax on purchases that I made yesterday.,Great,Income tax,1,"federal income tax, state income tax, Medicare, social security",0,0,"Roads, defense, safety net for the poor and elderly.",High pensions for elected representitives,"Infrastructure, subsidized student loans.",6,Uncxollected taxes that are owed to the government,3,,1,I think that they are helpful for those who can claim them,6,2,1,1,9,1,1,1,4,2,1,3,1,1,33,20,1,15,0.503497879
Tennessee,1,2,3,"don't know,republican will raise taxes for poor and lower for rich",2,90,Draw social security disability,Don't know,None,1,Over 12 yrs ago,0,0,"None,when I was paying taxes,didn't get much back,after paying in alot","Most of everything ,didn't have much",None,70,When most isn't for the people,3,,3,,9,4,4,1,48,2,3,3,NA,2,2,6,3,4,43,39,1,2,0.627293163
New York,2,6,1,"Mandatory payment of portion of income to government to fund social and government services.  Also comes to mind that the tax system in the US is regressive (i.e., more burden on lower income) rather than progressive (higher income earners should pay more or at least same rate as lower income classes).",1,66,"I pay quarterly estimated income taxes on self-employment income; last payment was in Sept.  I also pay sales taxes on all non-food items purchased, so that would have been this past week.",A good citizen.,Income taxes.,1,Income taxes.  Social security taxes.  Medicare taxes.,0,No,"Infrastructure (roads, etc.).  Unemployment.  Medicare.  Government services.","Defense.  Wars.  Special interest projects.  Corporations who use tax laws to get out of paying virutally any taxes, especially compared to the income/profit they receive.",Infrastructure.  Local government services.,40,"Government beaurocracy--too mahy employees/levels of government that leads to ineffeciency (e.g., VA)",3,,3,,1,3,2,1,10,1,2,2,4,2,1,3,1,1,33,27,1,16,0.503497879
District of Columbia,2,2,2,I think about people paying there taxes.,1,88,I paid my taxes in lst month,I feel okay.,i dont know,1,I can't remember at the momenr,2,2,I hope it paid for cleaning the enivorment and the dirty fishing waters because it a mess and it stinks.,nothing I can't think of.,"no , and I don't know",61,just some unessary things ,4,,3,,1,3,4,1,6,1,4,5,4,1,4,6,5,3,9,49,2,8,2.067269469
Florida,2,6,1,They always go higher and they need reforming,1,82,I paid sales tax on some items I bought today.,We all have to pay our share to keep government going. / ,Property taxes,1,Withholding taxes,0,No,"The library, social security and Medicare",Political races and campaign coffers,Yes because now I collect Social Security and Medicare,19,Hiring favorite contractors,3,,3,,6,2,1,1,42,1,1,2,3,2,1,6,3,1,10,22,1,12,0.432154266
New York,2,5,5,uncle sam wants to take my money,1,54,sales tax to department stores,none,none,1,,2,0,"pays for education, interstate highway, etc.",for welfare and the poor that are not really poor,none,58,none,2,it lowers and saves me some money,2,it's a great incentive to have kids,1,3,2,1,58,1,2,2,2,1,2,2,1,1,33,38,4,15,2.349898524
California,1,6,4,Devil but necessary to government to maintain operation.,1,95,Pay income tax and consumption tax,Responsibilities and obligations,income tax,1,income tax,1,None,more focus on welfare and health sectors.,much more for military expenditure,Be contributing reasonable goverment operation.,70,The huge  Military Spending,1,reduce the mount of my earnings,2,necessary but should be less ,1,4,1,1,50,1,2,2,4,2,2,3,1,1,5,51,1,19,2.165646716
Michigan,2,5,2,Money paid to the government to help fund public services,1,71,Paid sales tax on a grocery shopping trip today,"It feels kind of frustrating seeing part of your paycheck disappear, but I also know it is important for many reasons, and necessary to help fund important public services",Federal Income Tax,1,"Federal Income, Social Security, MI State Tax",0,No,"Public Services, Education ","I think there is too much unnecessary spending on national defense, wars","Yes, I received a very good education in public school, I live in a community with a great hospital, police department, fire department, etc",5,"Nothing specific, there's just bound to be waste somewhere",3,,2,I don't know too much about it,1,2,2,1,60,1,3,3,4,2,1,3,5,1,23,60,1,13,5.00008301
Florida,2,3,6,exces government spending,1,60,weekly taxes deducted from my paycheck,part owner of the local/state/national government,local property taxes,1,federal and medicare,0,1,police & fire departments,all of Obama's administration,"police, fire protection, trash & recycle pick up plus streets & roads we drive on",55,federal goverment,3,,4,,2,6,3,1,32,1,1,2,3,1,1,3,1,1,10,21,1,NA,0.519600055
Kansas,2,2,2,hopefully helps with programs in my area,2,80,not sure when I paid taxes,ok,house,1,local,0,no,streets education and home,I am not upset at what tax dollars pay for,no,60,trash,3,,3,,8,4,NA,2,60,2,4,NA,4,1,2,6,1,1,17,49,1,13,1.154111704
Massachusetts,2,2,NA,taxes on the house or anything you own ,1,99,my car  and the house I once own,okay as people pay what they need to pay and not goof off,fininaces for the car and the house it depends ,1,SSI and State ,0,no,anything that is good and worth it you need ot pay taxes for,you need a job to pay taxes or u will get into trouble,yes working all your life you should have the benifits to get it back at the end of the year,100,not to sure the only thing I think about it recycle,1,not sure what we need eveything goes it to it,1,cool when u go to school and at the end u get credit ,2,NA,NA,2,60,2,4,3,4,4,4,6,3,4,22,32,1,1,0.341164062
California,2,3,NA,fraudulent charges unfair ,1,87,at the grocery store when i bought soda,horrible,gas tax,1,social security,2,0,welfare departments for food ,space exploration in outerspace,not really,52,spending governent money on space,1,gives extra money that is needed but never enough,3,,2,4,2,1,71,2,3,3,2,4,4,6,3,3,5,45,1,10,0.718334602
Oregon,2,2,1,the boston tea party revolt,1,80,staying at a htole and paying the city tax. I live in Oregon so there is no sales tax for the most part,"some days ok, some days not so ok",I would say income tax,1,"do direct deposit, don't see paycheck",0,no,I would have to say freedom,stupid things that are not needed,no,60,"spending on things not needed, especially overpaying for them",4,,4,,1,1,2,2,40,2,4,3,4,1,2,6,1,3,38,33,1,NA,0.4725944
North Carolina,1,2,3,piece of shit assholes okay,3,49,i don't fucking remember dickhead,like a burning bush shoved up my ass,the mother fucking car tax,1,i can't remember assholes,0,0,it's a waste of money for useless projects,"pork barrel projects,thank you sarah pailin,you bitch",oh hell no you asshole,80,don't go there you mother fucker,3,,4,,4,4,4,1,20,1,NA,3,4,4,4,6,5,1,34,26,1,2,0.343243209
Wisconsin,2,2,4,less money for me to live on,1,70,at the store when shopping for household supplies,cheated,income,1,federal  / state / social security,0,no,social security / medical assistance / helping military,high incomes and benefits for political positions / stupid wasteful studies / using money to help other countries with no regard for the people in our own country,receiving widow's benefits from social security,90,none in particular,3,,4,,6,4,NA,1,5,1,2,2,4,2,1,3,2,1,50,20,1,8,0.538743107
Pennsylvania,2,6,1,I think of the words stress and complicated,1,83,I last paid sales tax when buying an item in stores,I feel neutral,sales tax,1,"local, state and federal taxes",0,0,I am glad they pay for social security,space exploration and sending troops to fight in wars,no,61,I think of republicans wasting my money,3,,3,,2,2,2,1,56,1,2,2,4,4,4,6,5,1,39,51,1,12,0.784998321
California,1,3,5,The very corrupt I. R. S. Who illegally target innocent citizens because of their political views.,1,52,Last week at the market on candy bars,Used,Income,1,None,0,0,"Police,fire, emergency services","Welfare fraud,nonsensical scientific studies",Yes,77,"Rich,corrupt politicians , who go into office not wealthy,and in a couple years, are millionaires.",3,,4,,6,4,2,1,21,1,2,1,4,2,1,3,1,1,5,26,1,12,0.3930594
Connecticut,2,1,NA,too highthey keep getting higher and most people hate that .because you can't afford anything like cars houses' and sales tax it really sucks i wish they would stop taxing goods.,2,40,sales tax when shopping this week.,it stinks.,on goods that i buy .and utilities.,1,federal and state taxes.,0,0,nothing.i really hate having to pay taxes on any thing because it just lines politicians pockets and does'nt do anything for me like pay my bills or anything that would really help someone like me.,politicians salaries.and for there cars and dinners and things for their offices and their homes and too pay off other politicians it is a waste of time paying for corrupt politicians .,no not much because i have not had any luck finding a job in my state.,97,politicians salaries.,1,it gave a little extra cash when i was working.,3,,4,NA,4,2,4,2,3,4,4,4,4,6,5,3,7,36,1,1,0.341164062
Michigan,1,1,4,how much money will i have to pay this time,1,61,everyday when i work i have to pay taxes  / ,i don't like it but have to . live here,25 percent,1,federal state city ,0,0,maybe schools and the  road and hiways,things are not getting fixed here fast enough like the roads,no,80,their wages are to high if they r for the people they don't need that kind of money ,3,,1,it's not fair to the ones who can't use it when u don't have children to claim,1,2,2,1,33,1,2,2,4,2,2,3,1,1,23,32,1,16,0.631508565
Florida,1,3,6,"money that we give to try to help make things better for the nation, but more often not gets used selfishly, and or incorrectly.",1,70,other than sales tax's and stuff of that nature id have to say it was when I filed my yearly income ,"bad because you see it as money that you worked for but gets taken away. If you look further it yes it does help others which is a good thing, but there is a great concern of taxpayers being abused. ","if sales taxes count I would say that because it all starts to add up, more so than anything else ",1,"medical stuff that I did not have, and just the normal social security, and government takings ",2,No,"Anything that helps the poor and needy, not the rich, or people who do not wish to help themselves. ","Congresses private vacations, wars that we should have never gotten into in the first place. ",No I hope that it benefits me in the future though ,80,"Wars, the vacations of congress men that are paid for with our tax dollars.",1,"if im not missunderstanding, it is the money you get back? If so it helps because its a little extra money back in the families pockets. ",3,,7,5,2,2,20,2,1,1,4,2,4,3,5,4,10,62,3,14,5.000082764
Virginia,1,4,7,too much taxes on everything we do,1,99,"last year""s income tax  and on gas ,grocercies and anything else you buy",it at times becomes overwhelming,tax on food,1,"fed ,state,medicare,social security",0,my wife,my freedom!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,??????????????????????????????????????????????????????,"yes,a free country",75,bills passed that you dont need,3,,1,its good,6,7,1,1,76,1,4,1,4,2,1,3,1,1,47,15,1,14,0.74043831
Tennessee,1,5,2,"money, payment dddddddddddd",1,36,"2013, ddddddddddddddddddddd",ddddddddddddddddddddddddddddddddddddddddddddd,ssssssssssssssssssssssssssssssssssss,1,ddddddddddddddddddddddddddddddddddddddddddd,1,ssssssssssssssssssssssss,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,ssssssssssssssssssssssssssssssssssssssssssssssss,42,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,3,,3,,1,4,2,2,40,2,3,3,4,3,1,3,1,1,43,36,4,6,1.103625348
Illinois,2,3,2,money that they government takes from me to spend on whatever they want,1,100,"When I went to the grocery, I was charged about 3% on certain items","honestly, it kind of sucks. I know it's necessary to fund things that benefit everyone, but so much money is wasted on every level of government that it gets frustrating.",property tax for sure,1,"income tax, social security",2,0,"roads, schools, fire department, social safety nets","wars, military, police militarization, corporate subsidies, wasteful pet projects, cronyism in local offices, bloated administration costs for small town political offices","I'm sure that I have, I received a public education, I use the roads every day, I use our public library and other services. ",61,bloated administrative costs and corporate subsidies (why does walmart need tax breaks and subsidies?),1,it reduces the amount of income tax that we owe,2,I think it's important to help families who are already struggling to make ends meet keep some/most of their income,2,2,4,1,3,1,3,3,4,1,2,3,1,1,14,38,1,10,0.984578453
Alaska,2,4,7,Extra fees that we have to pay for whatever it is we are purchasing.,1,85,I paid tax when I purchased my pizza.,Don't really care for it.,I don't really know.,1,Income,0,0,I don't really know what they pay for.  So I don't really know.,I don't really know what they pay for.  So I don't really know.,I don't know.,5,I don't know.,3,,3,,8,6,4,1,50,1,4,NA,4,4,4,6,1,3,2,45,1,11,0.718334602
Colorado,2,3,4,no money back; do it yourself;,1,90,taxes on grocery shopping; items bought retail,obligated,not sure what you need here,1,reductions for Medicare; Social Security; anything else they can think of,0,0,education if really so.  Not sure where any of it goes,not sure of all the things,no,88,too many things,1,that's all I get anymore,2,"as stated previously, lately, that is all the return we are eligible for",6,2,3,1,40,2,2,2,4,1,4,6,1,1,6,17,1,6,0.574527399
